# select substr(TS_DAY,1,4) || '-' || substr(TS_DAY,5,2) || '-' || substr(TS_DAY,7,2) as T, 
# UPASS_2010, UPASS_2011, UPASS_2012, UPASS_2013,
# MONTHLYPASS_2010, MONTHLYPASS_2011, MONTHLYPASS_2012, MONTHLYPASS_2013,
# DISCOUNTPASS_2010, DISCOUNTPASS_2011, DISCOUNTPASS_2012, DISCOUNTPASS_2013
# from V_YEARSPREAD

########################################################################################
2013-03-06,9100,7238,17747,16849,8476,6625,14904,13151,4783,3891,6938,6099
2013-03-07,7694,16824,17280,17173,6313,14254,15013,13671,3524,7568,6578,6621
2013-03-08,15240,18035,17482,18926,13774,14934,15324,13316,5826,7781,8011,7100
2013-03-09,15425,17490,18774,9584,14244,14992,14732,7745,5580,7837,8004,4434
2013-03-10,15811,17368,9922,6105,14557,14895,8552,5287,5804,8091,5217,2836
2013-03-11,16133,18844,7164,15588,14125,14713,6309,12464,5701,8561,3767,5279
2013-03-12,17542,10674,15827,16517,14392,8390,13347,12674,6228,4932,5673,5334
2013-03-13,9086,6450,16961,16843,8433,5855,14660,13068,4545,3344,6949,5448
2013-03-14,6162,16292,17163,16742,6128,13841,14819,12884,2993,6558,6530,5499
2013-03-15,15298,17374,17138,18772,13888,14496,14644,13302,5810,6698,6712,5938
2013-03-16,16517,17618,19049,9773,14493,14548,14585,7250,6191,7048,7193,4128
2013-03-17,18279,19746,11685,8386,14937,14427,8136,6302,6611,6993,4868,3556
2013-03-18,15557,18036,6981,15648,14694,14125,6366,12307,6114,6703,3686,5229
2013-03-19,17759,9656,15780,15801,14939,8121,13644,12504,6572,4764,5783,5046
2013-03-20,8641,7138,16053,30,8409,6399,13689,19,4679,3499,5505,25
2013-03-21,6722,16255,16426,,6381,13474,14047,,3214,5675,6119,
2013-03-22,15339,17161,16522,,14272,14014,13829,,6934,5936,6033,
2013-03-23,16220,16899,18325,,14571,14139,13738,,7079,6230,6611,
2013-03-24,15980,17169,10125,,14935,13915,7584,,6944,6086,4679,
2013-03-25,16639,19043,6920,,14417,13908,6091,,6675,6102,3764,
2013-03-26,17220,10200,16171,,14382,7826,13288,,7432,4557,6996,
2013-03-27,10026,7204,17019,,8155,6017,13856,,4505,3286,7277,
2013-03-28,6697,16139,16900,,6020,13677,13959,,3136,7252,7607,
2013-03-29,15778,17148,17475,,13778,13984,13535,,6347,7459,6967,
2013-03-30,16085,16903,18538,,14567,13921,13332,,6665,7183,7731,
2013-03-31,16561,17378,9252,,14450,14261,7045,,6778,7291,4253,
2013-04-01,17544,17820,7085,,12052,10889,4757,,6028,5638,2721,
2013-04-02,6002,8057,15897,,5711,5408,11720,,3226,3354,6082,
2013-04-03,6080,6783,17061,,7115,6010,13039,,4072,3489,7235,
2013-04-04,4580,12737,17281,,5108,13094,13287,,2847,6855,7445,
2013-04-05,6489,12350,18609,,7939,14273,13742,,4074,7590,7961,
2013-04-06,15863,12309,8088,,13849,14170,6730,,7105,8014,4441,
2013-04-07,16023,12350,6868,,14326,14269,7264,,7308,8236,4730,
2013-04-08,18064,12950,5124,,14648,14073,5453,,7655,9221,3328,
2013-04-09,12520,9115,6473,,14234,7624,7841,,8010,4970,4288,
2013-04-10,8234,6293,12289,,8354,6292,13851,,4702,3843,7740,
2013-04-11,6156,12549,11734,,6408,14275,13987,,3451,7571,7764,
2013-04-12,11491,11574,12460,,14274,14516,14071,,7313,8130,7760,
2013-04-13,10761,11606,12571,,14953,14673,14325,,7703,8272,8939,
2013-04-14,11592,11607,9379,,14901,14686,8446,,7636,7928,5429,
2013-04-15,11293,12146,6512,,14803,14515,6124,,7448,8883,3930,
2013-04-16,11793,9404,11516,,14912,8359,13478,,8283,5494,7488,
2013-04-17,8466,5892,11610,,8397,6244,13972,,4703,3953,7834,
2013-04-18,5874,11786,11437,,6706,13801,13999,,3765,7705,7737,
2013-04-19,10861,10624,11408,,14202,14365,13576,,7331,8232,7499,
2013-04-20,10856,10605,11947,,14576,14516,13803,,7752,8610,8507,
2013-04-21,10967,10956,9005,,14562,14373,7886,,7300,8558,5206,
2013-04-22,11198,4854,5679,,14677,6888,6065,,7860,4648,4008,
2013-04-23,10930,4332,10159,,14062,7513,12866,,6413,4708,7060,
